text,label
not doing relay  oh well.,negative
No news yet,neutral
"Just got tickets to my favorite band's concert, can't wait for the show!",positive
Delighted to see old friends.,positive
Elated by the positive feedback from the client,positive
"ew, i used to get 'suicides' in mid. school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.",positive
Exhausted after the long day at the conference.,negative
yes  lol,neutral
aww sorry to hear you are having a bad time. Remember: this too shall pass,negative
Dejected by the rejection of the proposal.,negative
Excited to explore the new city.,positive
"_anekie ok darl, i will suggest you to the MUA (Tracie Weaver), as she`ll be making the decision",neutral
Missing home and family,negative
"Feeling overwhelmed with deadlines, work has been really stressful.",negative
"Feeling exhausted after a long day of work, I need to unwind.",negative
"This traffic jam is driving me crazy, I just want to get home.",negative
Chicken beer and good company makes a good night...,positive
"THIS TWITTER **** BORES ME, NOW I C Y I HAVEN`T BEEN ON HERE IN A MONTH",negative
"Making a video for HitRecord... hope it comes out well, it`ll be my first record",positive
"Just finished a great movie, highly recommended",positive
Sunday brunch with friends,positive
Just finished reading an amazing book,positive
"S`ok, trying to plot alternatives as we speak *sigh*",negative
Happy to be spending time with family today. Happy to be spending time with family today.,positive
Can't wait for the new movie release,positive
"Can't believe I forgot my wallet at home, what a mess",negative
Feeling disappointed after the game. Feeling disappointed,negative
possibly going out tonight; is there ANYTHING to do in Lancaster? I miss Baltimore,negative
counting the minutes until I can go home,negative
what time is our conference call??,neutral
Writing in yearbooks make me wanna cry,negative
says headache  http://plurk.com/p/wydaf,negative
i hope such moments inspire you on your political journey back home. all the best,positive
no turkey leg? i can`t believe it!,negative
Bothered by the constant nagging from family members,negative
So happy to see my old friends again,positive
"I miss you too, Mojokins! I go there, but not long enough to comment  Will do more this weekend!",negative
i wish i could call but i live in the uk and i don`t have the cash to call,negative
Feeling really disappointed with the service at the hotel,negative
i have no idea wtf im doing,negative
missing jmichelle... told you treat me like a step child! smh,negative
Overwhelmed with emotions,negative
"Feeling really down today, everything seems hopeless",negative
she fell into deep crack in the glacier  so terrible,negative
Happy to see the beautiful sunset today,positive
true. i think its important 2 be sensitive 2 it when we relate 2 others. empathy. a reminder we cant judge a book by a cover,positive
"Enjoy Springsteen, I`m seeing him at Glastonbury in June!! Give us a report when you get back",positive
"Enjoying a lazy Sunday morning, it's nice to have some downtime.",positive
thank you  (: cant wait!!!! ummm btw ima crash still sick,neutral
Eager to start a new project next week,positive
So excited for the upcoming vacation,positive
Excited to start a new chapter in my life,positive
the mall i once worked at has turned into a very depressing place,negative
"My favorite team won the game, what a great feeling",positive
_n_booklife I heard about that too... that seems an overreaction...,negative
Loving the new book I just started reading. Loving the new book I just started reading.,positive
Ok the thunder is scaring me,negative
: wait till the vacation ends! u shud be cycling a lot then!,neutral
_Rahal Thing about living is that there are always undeveloped pictures in your future.,neutral
Evermore & End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later,negative
where are ya headin to for your family vaca? i hope the paparazzi leave you alone,neutral
yea just fun dive..a bit scary sometimes but fun.  u like diving?,neutral
"I love being with my friends, they always make me smile",positive
Hes just not that into you,neutral
The beautiful sunset at the beach is the perfect way to end the day.,positive
17 hours left of being a teenager.. and ill be sleepin for 8-10 of those hours.. how depressing,negative
night nurse!! :S,neutral
Just got a promotion at work! Just got a promotion,positive
"_Pierce Well the Enterprise E, the NX-01, or the NCC 1701(no bloody A,B,C,D, or E)",neutral
thinks that Pipers molars are cutting thru  we had a nice lil nap me and the girl...now just another friday night at home w/ the lil ones,neutral
_Anais I feel reeeally bad now.... sorry,negative
You charmer   Do you like football too?,neutral
The gigantic initial inertial to get oneself to work after a deadline,neutral
I can't believe it's already Friday!,neutral
Finally finished that book I've been reading,positive
"I assume you mean 2nd item with 3 nested lines, but no invert call tree button to be found   ??????  ??????   ??????",negative
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero http://bit.ly/2Hpbg4",neutral
i forgot how much i really needed music until i barely had any for about a week. but i have music now. yay!,positive
Ecstatic to have achieved a personal goal,positive
always good to see you - even in cyberspace,positive
"Link won`t open, but I will try it when i have a better connection tomorrow. I`m curious now",positive
Depressed after hearing the bad news.,negative
my stomach feels like it`s touching the ground..i`m SO full,negative
_kelly Bummed about the maxi dresses!  I think they`re so cute for summer but I`m only 5`4'!,positive
Disappointed with the lack of improvement in the situation,negative
"was in Palawan a couple of days ago, i`ll try to post pictures tom.",neutral
Can't believe my car broke down again.,negative
"I was talking with my best friend ??????ureo about i-phones, Rio de Janeiro, and valentines day in Brazil. He has a girlfriend and I??????m not",neutral
Enjoying a delicious cup of coffee on this beautiful morning.,positive
Feeling really overwhelmed with all the work,negative
thanx peeps 4 following me,positive
Just got a surprise visit from an old friend!,positive
Going to school =[ I`m actually not so tired today tho,positive
On the way to Malaysia...no internet access to Twit,negative
any one watching justin timberlake on SNL? He is greattttt! So hilarious,positive
Apparently it`s 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,negative
Watching jackass the movie  http://twitpic.com/4wlgi,neutral
Thrilled about the new fitness goal achieved,positive
Photo: I like da cooolooorss and the composition is great  scribkin: http://tumblr.com/xyb1qw8cb,positive
Just had the worst experience at the customer service desk,negative
I know! I`m so slow its horrible. DON`T TELL ON ME!,negative
I don`t think the neti pot is working for me  maybe I`m doing it wrong?,negative
a trending topic: HAPPY STAR WARS DAY,positive
Disheartened by the lack of support.,negative
The concert last night was incredible!,positive
_shields06 good job!  I wish i worked in a zoo,positive
"Spending quality time with loved ones, it's the best feeling in the world.",positive
ohhhhh with ya,neutral
so had a freakin lond thursday  ready to hit the hay and surprise surprise I can`t freakin sleep :/ Boo!,negative
Inspiring quote of the day,positive
"_esl  If in doubt, wash separately   Normal concern is something fading onto the white.",neutral
"c`mon people, today is #juddday",neutral
"Enjoying a delicious meal at my favorite restaurant, such a treat.",positive
Can you talk to my hubby  and convince him that that`s a great present for ALL mommies???,positive
"oh Marly, I`m so sorry!! I hope you find her soon!! <3 <3",neutral
Feeling really lonely and isolated,negative
"Finally finished that project I've been working on for weeks, such a relief.",positive
I am officially a kindergarten cop,neutral
_Lia  Are the drugs working?,neutral
Thank god you didn`t go **** until after you had me...,neutral
I can honestly say that thematic had a big part in my blogging enthusiam ~ I love being able to do what I want,positive
Its 1:11am and both my girls are still up! .. im so tired ..,negative
Just had a fantastic experience at the spa,positive
Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!,positive
Anxious about the uncertainty of the future.,negative
I`m sorry about your car. I feel for you...,negative
I love to! But I`m only available from 5pm. and where dear? Would love to help convert her vids.?????????????,positive
i know,neutral
Good luck on your exam tomorrow!,positive
had a life changing redhead - she got away,neutral
Can't wait to see my friends tonight.,positive
I Wish i was still in Cornwall - i miss my auntie`s dogs,negative
"Schoool needs to end, Work tonight 4 to 8  hittt me up after <3",neutral
Losing makeup bags is TRAGIC...luckily I keep 4 in diff places but I gotta replace my Bare Escentuals  *tearrrrrrrr*,negative
"Ok back later, have a great time regardless of the weather  PS I`m only a BB away!",positive
wee. done with advance audit paper,neutral
i like the optimism,positive
Thrilled about the long-awaited vacation.,positive
cry baby. janes joplin what is this? munsay music. but i dont know wich **** day i  am today,negative
"Can't believe I lost my phone again, so frustrating.",negative
Hi!! How are you? You`re an amazning actress  Greets from Slovenia,positive
Feeling down today,negative
I`m eating egg-whites right out of the pan,neutral
See you on may 16!!,neutral
What are we doin!!?? Tell me! tell me!,neutral
Excited for the company retreat next week,positive
"Hmm, $25 to see the Decemberists, but I have to go to Raleigh on a work night... or $95 for cheap seats to the Bolshoi? Probably neither",negative
_com All breaking news will be tweeted here I hope  welcome to twitter!,positive
__ Aww bless her. She`s one of my faves,positive
The rainy weather is putting me in a funk,negative
and jarita i`m going home now and i`m with two hot guys  drool.,neutral
Upset about losing my wallet.,negative
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
Looking forward to meeting new people,positive
I really really like the song Love Story by Taylor Swift,positive
Traffic is so bad today,negative
The scent of freshly baked cookies always makes me feel warm and fuzzy inside.,positive
Wow. Way to be discouraged  idk anymore... fml.,negative
"Oh dear, it will be late there.... good ol Michigan!  Well I look forward to chatting with you when our wakeful hours overlap.",positive
Back from comedy night. Great fun. It`s only midnight. I`m knackered. I`m getting old,neutral
Excited to start a new project at work,positive
"Tat, You looks beautiful and are a heck of a mama and business woman.   Dana",neutral
Displeased with the poor quality of the product.,negative
"Thanks dear, I know this, but I appreciate the validation as always",positive
Bummed out about the bad news,negative
Feeling really delighted about the upcoming vacation,positive
Feeling motivated and ready to take on the day,positive
Can't wait to see my favorite band in concert,positive
"Attended an amazing concert last night, the energy was electrifying.",positive
Excited for the upcoming holiday season,positive
Depressed after the rejection.,negative
Feeling really grateful for all the good things in my life,positive
"Bad day at work, need a pick-me-up",negative
Excited for the upcoming music festival,positive
() oh snap,neutral
Excited to celebrate the birthday.,positive
is there anything Brian or I can do?,neutral
Can't believe I lost my phone,negative
Upset about the recent setback in my plans,negative
"So there aren`t anymore exams, but there is only 3 days left. I`ve just now relized this is a bad thing.  And a good thing. I dont know.",neutral
"I use an external track ball with my laptop. Again, seems excessive, but is totally more efficient.",positive
love it! Really its simple i think of a word and put twi on the front i should be more clever,positive
Can`t sleep but is happy that the Fugees are keeping him company,neutral
"Spent the whole day studying, feeling exhausted.",negative
watching supernatural  those boys can hunt me any day <3 haha,neutral
"Frustrated with my computer constantly crashing, it's driving me insane.",negative
"Just watched the trailer for the new Sam Raimi movie, Drag me to Hell.  Looks interesting, but there was no humor in it.",neutral
Just finished a challenging workout session,positive
"Traffic is so bad today, I can't believe it",negative
RAIN why must you come 'after' I flat iron my hair? I have been rockin my curls for 3 weeks and today you decide to come out. not nice!,neutral
Feeling really tired and worn out,negative
@_Bella_Cullen13  _Cullen26  _Cullen10  These are my family girls  love u guys *smiles*,positive
The weekend getaway was amazing!,positive
Can't believe how rude some people can be,negative
WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,positive
Recording an acoustic track! For you sexy kids!,neutral
Irritated by the constant interruptions at work,negative
"Can't believe I broke my phone, what a disaster",negative
Need some motivation to get through the day,negative
"Just received a great job offer, feeling so happy",positive
Sad. I don`t know what to do with my life. Everything I have done since the age of 16 has been towards healthcare and nursing,negative
Feeling a little under the weather today. Feeling a little under the weather,negative
I think the rain killed my phone,negative
Just got home from dinner with my mommy and my new grandma. I`d rather be in Hollywood right now,neutral
lol event management. no prerequisites,neutral
"Woke up at 5am. Cleaned camera gear from last nights wedding. Should really go back to sleep, but kids awake.",neutral
Just had a great experience at the new gym,positive
This cold weather is making me really homesick.,negative
You`re not here. I hope you`re still resting.  I don`t want you to be stressed.,positive
"Struggling with indecisiveness, it's hard to make important choices.",negative
Being followed by compliance.  Great.   Have to watch what I say now.,positive
"Luke M here, thanks Ps Chris! Ur husband is pretty cool I reckon! Sorry u were feeling sick and hope you feel better soon!",neutral
Bummed about the rainy weather.,negative
HAPPY MOTHER DAY TO ALL THE MOTHER`S IN THE ENTIRE WORLD WE DESERVED A DAY JUST FOR US RIGHT...,positive
"Shite night, tomorow, I get to hang out with my little brother and neice, should be sufficient enough to change my mood",positive
Chilling with my baybee sarah!  i love this girl,positive
i havent been out west since 07...i think i picked a bad wknd b/c its overcast out here tho,negative
Just got my coffee and ready to start the day,positive
_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4,positive
"...wait, I lied.",negative
"And figuring out how to watch Middlesbrough games next year, after the dreaded drop.",neutral
Feeling grateful for the little things in life,positive
goodnight all in the twitterverse,positive
That`s very funny. Cute kids.,positive
Ok then have a good day,positive
Went to see 'UP'. It was a really good movie that pulls at the heart strings  i highly recommend it,positive
"Finally booked my dream vacation, can't wait to explore a new destination.",positive
I`m going to see sweeney todd on stage with my best friend for her bday today (I know I`m going to be the one who sings along!!),positive
Feeling grateful for the little things in life,positive
Happy to see the beautiful sunrise today,positive
Sooo much work so little time,negative
"I`ve already done my washing, I have a spring in my step this morning",neutral
"?  ... thx for ur msg, so awesome!  luv the new single! xoxo http://tr.im/kpDW",positive
Hi frenchie *-* i`ll do that...later  :p,neutral
"deleted a lott of facebook friends, ask to be my friend again if you want. if not idgaf",negative
Feeling lonely after moving to a new city.,negative
my boss is bullying me...,negative
"Might buy some iPod apps later, hmmm...",neutral
Why is everything so difficult,negative
I hate Mondays,negative
_tastic Awww that is sweet,positive
hiccups,neutral
I'm exhausted after the long day at work.,negative
"think I`m gonna start writing a proper blog, can anyone recommend any good blog host thingys?",positive
Just ate way to many chocolate animal crackers,negative
just another manic monday.. wish it were sunday.. that`s my fun day  happy monday twitterland,positive
Eager to start the new project.,positive
thanks **** it went really well. I`m tired now though  hope you spoiled your mum-in-law,neutral
The long work hours are taking a toll,negative
Upset about the loss in the competition.,negative
so Roman is now on pain killers and some LQ meds. Thanks Jess for agreeing to go get him yogurt before you go out!,neutral
Pineapple rocks bud,positive
Just got good news from my doctor!,positive
borred what everyone doingn check out links on my profile,negative
Overjoyed at the unexpected good news.,positive
About to leave the fights. I`m tired and my voice hurts.,negative
Had a great day at the beach,positive
Disappointed with the poor service at the hotel.,negative
Feeling so accomplished after finishing a big project,positive
Disheartened by the lack of support.,negative
"No more tickets for today.  Having dinner with Mimcy after work, then we head home. Then again, she might get a call",neutral
"i`ve been sick for the past few days and thus, my hair looks wierd. if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative
Freaking out a bit..crossing my fingers that things will work out ok,neutral
"Can't believe I lost my phone, what a disaster",negative
Feeling accomplished after a long day,positive
Annoyed by the constant noise pollution in the city,negative
"Hiking in the mountains, the stunning views are absolutely breathtaking.",positive
Can you please  with that? I`d love some egg +bacon +ranch +bed for giving birth 3 times in 4 years!,positive
Avoided cinder blocks! Safe in NY area.. But Dantas and porky upset beavs gone,neutral
"Ahhh, I slept through the game. I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
Can't believe my flight got canceled,negative
"Excited to start working on my new art project, feeling inspired.",positive
what interview! leave me alone,negative
MORNING EVERY1! Giveaway at http://tinyurl.com/dhc4hg  Mod Kid Emma pattern &$25 GiftCert to HipFabric!! GO check it out,neutral
Excited to celebrate my birthday with my friends,positive
Not feeling well today,negative
My favorite song is playing on the radio,positive
I'm feeling great today,positive
Overjoyed by the surprise visit from family.,positive
i didnt get a hug today,neutral
This is truly enlightening for me,positive
Exhausted after a long day of meetings.,negative
"http://twitpic.com/4jcwm - YES, my #ubook Lenovo T400 finally arrived!",positive
"Can't believe I lost my phone, what a disaster",negative
Looking forward to seeing my favorite band live,positive
Trying to get some work done not too happy about work situation,positive
Western Digital Caviar Black 1TB SATA 300 NCQ 32MB on the way...,neutral
Somewhere in the center...,neutral
I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..,negative
"In worst case cenario, I`ll show up on OFFF with a white mask, and scare everyone. Even better: everyone should wear a mask besides me.",negative
Vote for Board of the Month May 2009 (licensed members only) http://tinyurl.com/c8uj28 Good luck everybody,positive
morning to all,neutral
I`m scared to set the pw on my BB bc I might forget it & end up losing all my data. But yet I have financial info on it. Catch 22,negative
Excited to try out the new restaurant in town,positive
"i`m not at chaseton`s either  please don`t die, my heart will be really sad",negative
one day my hugs will come    *fingers still crossed*,positive
Just got a shot on my arm. Eww.,neutral
"okay, i`m out for a while  back later!",neutral
I can`t wait to see yall Friday !!!! I hope I meet u guys!! That would make the night even better,positive
It's a beautiful day to go for a hike.,positive
Well for one thing I might be branded a 'public menace' by the state.,neutral
Love spending time with friends,positive
Excited for the new restaurant opening next week,positive
Ready for a weekend adventure,positive
Looking forward to spending time with my loved ones,positive
MAYDAY?!,neutral
Had an amazing time at the beach today! Had an amazing time at the beach today,positive
No one wants to sit with me at lunch  I guess I`ll just bury my head in my laptop and continue to be anti-social.,negative
Born and raised in NYC and living in Texas for the past 10 years! I still miss NY,negative
Celebrating a small victory,positive
Binge-watching my favorite TV show,positive
"Just bought a new car, so excited",positive
she was performing at the lifeball in vienna this year but unfortunately i didn`t get the chance to see her.,negative
p.s.  thought you were gonna follow me back on twit-har ?,neutral
Yay my friend Glen is here. Now i`m like this,positive
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
Frustrated with my computer not working.,negative
"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
Off to church now...,neutral
hey how is everything going? please reply back. sometimes i think you hate me because you never reply back to me,negative
Round two of Vega: Vanilla Chai flavor.  Just realized that I have only 45 days left,neutral
"ummm, come on, for me twins and slurpees, and being in a car with the twins is going to be pretty epic!!!",positive
I can't believe they cancelled the show,negative
"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
LMAO! listening to the great Bob Marley!  Wow hes so awesome,positive
"A lovely weekend away at Kits Coty, now relaxed and well rested and ready for the week ahead.  Back on NNC in two weeks",positive
i have been in the lounge for HOURS...and i have not been productive at all. upps time to go out,negative
Great !!! Your book looks fantastic ? I want it,positive
Upset with the lack of cooperation from colleagues,negative
sick of having constant bad dreams  grr,negative
"It Was The Best Evar & My First,, You Didnt Awnser Any Of My Questions  xoxo",positive
"i like this new trend ,  who`s next ? http://tinyurl.com/qcy8d4",positive
The beach was so relaxing,positive
I just got home.  i bought twiggies and a toothbrush that promises to make my teeth 60% cleaner. - http://tweet.sg,positive
Yes. I also use my desktop`s mouse and ketboard as if ot was just a second monitor   http://twitpic.com/4wlpf,neutral
The unexpected rain ruined my plans today,negative
"Just got dumped by my partner, feeling heartbroken.",negative
"It's been a rough day, everything seems to be going wrong.",negative
Can't wait to try the new restaurant in town.,positive
Feeling lonely without company,negative
Overwhelmed with too much to do,negative
ahh..my stomach hurts,negative
I`m bummed that I didn`t get TEDx tickets,negative
i would love to come visit you in Korea.. next flight that is under 100 i am there!,positive
Can't believe how rude some people can be,negative
my youtube channel? Demilynnmusic haha cause I love 2 sing & stuff so yea,positive
cant decide on wht i wanna do with the rest of my day...i think i may go bk 2 sleep  woe is me! uugghh! lol,neutral
http://bit.ly/13f5m0  You are not alone in your disbelief but I am quite happy with evolution. It beats the alternatives posited,neutral
is really ultra bored,negative
omg you`ve never seen `the Ring` its a creppy **** movie,negative
Upset about the loss in the tennis match.,negative
Excited for the upcoming project,positive
Excited to see my favorite band in concert tonight! Excited,positive
is it unny today or not? taking too long to decide haha. i wna get a tan,neutral
@_anniemay OMG No fair,negative
"Just had my teeth checked, now my eyes. I`m dying for a coffee but can`t drink for an hour.",negative
finally get my hands on my laptop!  just ate the biggest burrito de asada EVER  and now im gonna get ready for the party-ooo!,neutral
_zulu or get up on that Michael Jackson ish.  Not a bad look IMO,positive
Feeling grateful for all the good things in my life. Feeling grateful,positive
That movie was amazing!,positive
Went to sleep and there is a power cut in Noida Power back up not working too,negative
i joined this because i think my smith chips invent a flavour competion entry wont be recognised  its  SWEETPOTATOE AND SEASALT  flavour ?,neutral
aww lovely pic,positive
:visiting my friendster and facebook,neutral
Delighted with the surprise party.,positive
So over this never-ending meeting,negative
"Just finished my workout, feeling great",positive
Deathstar destroys Starship Enterprice http://bit.ly/2agcTh Can`t get enough of this video  #starwars #startrek,negative
Need a caffeine fix ASAP!,neutral
Lost track of time and now running late,negative
man i **** up that test  playing cod now . 31 days till the summer !,negative
orralle.. have fun,positive
YOU MAKIN` ME ****,neutral
"I`d have responded, if I were going",neutral
"coooooooool, yes, CIWWAF are awesome.",positive
Feeling down after the news today. Feeling down,negative
VEGA UNDER FIREEEEEE,negative
_assassin  sucks about your cat... hope you guys feel better,neutral
I need a vacation ASAP!,neutral
Mama? you`re the best thing that ever happen to me. thanks for everything  & and sorry for hurting you... I LOVE YOU!  <3,positive
Mmm someone come havelunch with me,neutral
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
Happy to be surrounded by loved ones.,positive
http://twitpic.com/4jg09 - looks exactly like I do when I get that GH guitar in my hand,neutral
here again in school bored wanting  2 go home,negative
Overwhelmed with the workload.,negative
Annoyed by the constant construction noise.,negative
Ohhh Ladyhawke is on channel 4  I sort of have a thing for Rutger Hauer http://twitpic.com/4jbzv,neutral
Sooo SAD I will miss you here in San Diego!!!,negative
_G yup - that`s where I watch all my movies,neutral
Loving the sunshine today!,positive
"Pleased to hear it, but still I am shamed sometimes to hear what some men do",negative
Excited to start a new adventure,positive
Aww man I left all my laffy taffy`s at work,neutral
Fuming over the delayed flight.,negative
_bach daps were the best lol,positive
"I wake up at 4:30 during the week - and funny, Deathcab makes me think of you!  (& I use your calendar to track work hours)",positive
